geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,area_m2,period_ret,intens_num,int2
"19.3628767409,-99.2270030874",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,251046.580885,5 años,60 a 64,3
"19.359713645,-99.1126636533",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,263600.343771,5 años,54 a 60,2
"19.3499612368,-99.0618445374",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,153030.578543,5 años,54 a 60,2
"19.3743243684,-99.0503042071",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,26861.4425954,5 años,54 a 60,2
"19.3232006479,-99.045198103",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,67828.0628937,5 años,41 a 54,1
"19.3480055338,-99.1154810956",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,339455.288871,5 años,54 a 60,2
"19.3109881499,-99.0899412391",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,27155.7556251,5 años,54 a 60,2
"19.3736559787,-99.056245848",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,37639.6409763,5 años,54 a 60,2
"19.3405068835,-99.0503516331",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,239240.456433,5 años,41 a 54,1
"19.3288934357,-99.0344088057",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,243214.822681,5 años,41 a 54,1
"19.3592218638,-99.1255932466",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,200770.535787,5 años,54 a 60,2
"19.3464836199,-99.049692185",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,414508.712706,5 años,41 a 54,1
"19.2921838295,-99.1816848148",Hidrometeorológicos,Precipitación,Medio,Tlalpan,311640.536152,5 años,60 a 64,3
"19.3804094569,-99.1487503632",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,282519.247758,5 años,54 a 60,2
"19.2006471732,-99.1073077931",Hidrometeorológicos,Precipitación,Alto,Xochimilco,265268.917415,5 años,64 a 70,4
"19.3943375177,-99.1644827956",Hidrometeorológicos,Precipitación,Medio,Benito Juárez,263745.307966,5 años,60 a 64,3
"19.3759522163,-99.1825661443",Hidrometeorológicos,Precipitación,Medio,Benito Juárez,272482.293999,5 años,60 a 64,3
"19.4011587376,-99.1588058018",Hidrometeorológicos,Precipitación,Medio,Benito Juárez,233161.957085,5 años,60 a 64,3
"19.2564822974,-99.1164296978",Hidrometeorológicos,Precipitación,Medio,Xochimilco,297510.247414,5 años,60 a 64,3
"19.3968511136,-99.1324927771",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,132146.044995,5 años,54 a 60,2
"19.2547992126,-99.1199643562",Hidrometeorológicos,Precipitación,Medio,Xochimilco,217762.817735,5 años,60 a 64,3
"19.2688047671,-99.1093627879",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,449912.131062,5 años,54 a 60,2
"19.2489694938,-99.0895419334",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,430676.424933,5 años,54 a 60,2
"19.2561786983,-99.0900266098",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,1190487.05737,5 años,54 a 60,2
"19.284053003,-99.1996374836",Hidrometeorológicos,Precipitación,Medio,Tlalpan,364991.748111,5 años,60 a 64,3
"19.2490598024,-99.1634008697",Hidrometeorológicos,Precipitación,Medio,Tlalpan,502191.819873,5 años,60 a 64,3
"19.3061780961,-99.0473472702",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,133108.028668,5 años,41 a 54,1
"19.35448003,-99.1787221421",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,428645.790817,5 años,60 a 64,3
"19.2948004811,-99.0380209762",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,275652.653875,5 años,41 a 54,1
"19.301202345,-99.1772404185",Hidrometeorológicos,Precipitación,Medio,Tlalpan,148142.332365,5 años,60 a 64,3
"19.3846282449,-99.2242153571",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,129319.922846,5 años,64 a 70,4
"19.2609460682,-99.1174357785",Hidrometeorológicos,Precipitación,Medio,Xochimilco,228171.40529,5 años,60 a 64,3
"19.23759596,-99.003174216",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,1289814.50295,5 años,41 a 54,1
"19.3960004407,-99.2169276338",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,452299.466118,5 años,64 a 70,4
"19.2915100616,-99.0327896643",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,268559.070515,5 años,41 a 54,1
"19.3933687069,-99.2035452412",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,43866.4204799,5 años,64 a 70,4
"19.2929571378,-99.0509176156",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,207535.422765,5 años,41 a 54,1
"19.2647610549,-99.2021848756",Hidrometeorológicos,Precipitación,Medio,Tlalpan,971697.381809,5 años,60 a 64,3
"19.3668261671,-99.2550861825",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,741384.578132,5 años,60 a 64,3
"19.2284921231,-98.9668113753",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,529313.226844,5 años,41 a 54,1
"19.3419018187,-99.2540388952",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,1359093.52051,5 años,60 a 64,3
"19.2703936016,-99.1659508925",Hidrometeorológicos,Precipitación,Medio,Tlalpan,500250.11569,5 años,60 a 64,3
"19.3570638922,-99.2116846028",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,127250.670344,5 años,60 a 64,3
"19.3378653565,-99.1963520757",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,541834.343477,5 años,60 a 64,3
"19.2856101498,-99.2315451201",Hidrometeorológicos,Precipitación,Medio,Tlalpan,254446.600905,5 años,60 a 64,3
"19.3732841105,-99.2181419103",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,308614.920646,5 años,64 a 70,4
"19.2796008329,-99.1713937942",Hidrometeorológicos,Precipitación,Medio,Tlalpan,34269.8225817,5 años,60 a 64,3
"19.2960286894,-99.048426388",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,287953.750576,5 años,41 a 54,1
"19.3563410356,-99.2191776396",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,462188.445691,5 años,60 a 64,3
"19.3800347904,-99.1942503334",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,62402.1984919,5 años,64 a 70,4
"19.3765263391,-99.1976190755",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,173872.021234,5 años,64 a 70,4
"19.3894907236,-99.2089732106",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,37121.4528638,5 años,64 a 70,4
"19.27434366,-99.0034735433",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,146666.865745,5 años,41 a 54,1
"19.3817275445,-99.2075835445",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,291973.144907,5 años,64 a 70,4
"19.3796989364,-99.2405574067",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,171387.470383,5 años,64 a 70,4
"19.2443720833,-99.0099951187",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,675415.392076,5 años,41 a 54,1
"19.3744020694,-99.1935502054",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,150215.461589,5 años,60 a 64,3
"19.3595469558,-99.2448274588",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,170500.738283,5 años,60 a 64,3
"19.3394986094,-98.9936890237",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,188308.785814,5 años,41 a 54,1
"19.3665871269,-99.1206775705",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,233348.741023,5 años,54 a 60,2
"19.360214616,-99.1161557039",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,228398.895935,5 años,54 a 60,2
"19.3407944155,-99.0246710265",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,317840.58015,5 años,41 a 54,1
"19.406936842,-99.0668577583",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,71250.0770742,5 años,54 a 60,2
"19.2876947833,-99.0715163014",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,64626.5161846,5 años,54 a 60,2
"19.3822348351,-99.0538392514",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,68788.7348901,5 años,54 a 60,2
"19.3442139937,-99.0444216641",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,194062.034289,5 años,41 a 54,1
"19.3740654102,-99.0545840081",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,11110.1747761,5 años,54 a 60,2
"19.3792905891,-99.1331045928",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,185571.428134,5 años,54 a 60,2
"19.390658948,-99.0383904486",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,37323.7690322,5 años,54 a 60,2
"19.3900663289,-99.0401606673",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,121032.784566,5 años,54 a 60,2
"19.3585336935,-99.0594190189",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,344807.193401,5 años,54 a 60,2
"19.3578313171,-99.2327204323",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,125642.367265,5 años,60 a 64,3
"19.3651357122,-98.9994377697",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,164741.688806,5 años,41 a 54,1
"19.3600205479,-99.0553050144",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,278523.397073,5 años,54 a 60,2
"19.3613715385,-99.0731243865",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,387899.453161,5 años,54 a 60,2
"19.3387239165,-99.0118651775",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,169236.904938,5 años,41 a 54,1
"19.3057503806,-99.0830058902",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,157984.908999,5 años,54 a 60,2
"19.3326781082,-99.0746221315",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,12892.3425219,5 años,54 a 60,2
"19.3957433602,-99.0796145972",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,469339.970797,5 años,54 a 60,2
"19.3399289419,-99.1023994121",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,164081.177641,5 años,54 a 60,2
"19.3362888359,-98.9965108183",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,171557.797028,5 años,41 a 54,1
"19.3214383447,-99.0429147808",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,188888.729902,5 años,41 a 54,1
"19.3666975692,-99.1178485965",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,180190.897261,5 años,54 a 60,2
"19.3416646891,-99.2361050336",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,856854.924248,5 años,60 a 64,3
"19.3672121685,-99.2107872924",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,65407.9910242,5 años,60 a 64,3
"19.2884168792,-99.03269649",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,256316.43738,5 años,41 a 54,1
"19.3058307755,-99.0325148413",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,448554.775472,5 años,41 a 54,1
"19.3460142343,-99.2023053477",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,629744.210892,5 años,60 a 64,3
"19.3011413144,-99.2015054183",Hidrometeorológicos,Precipitación,Medio,Tlalpan,713455.386242,5 años,60 a 64,3
"19.3797857241,-99.2280420893",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,145020.890372,5 años,64 a 70,4
"19.3954795507,-99.2083781579",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,193535.025035,5 años,64 a 70,4
"19.3754564494,-99.2250747028",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,214278.714237,5 años,64 a 70,4
"19.3653519833,-99.1927311517",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,124864.341407,5 años,60 a 64,3
"19.305665875,-99.0457684271",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,154574.351469,5 años,41 a 54,1
"19.3696837501,-99.2010394613",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,133525.481643,5 años,60 a 64,3
"19.3370591642,-99.2153975601",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,287963.715576,5 años,60 a 64,3
"19.3641680223,-99.2474766937",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,90811.4884408,5 años,60 a 64,3
"19.304828314,-99.0181959533",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,41852.4370814,5 años,41 a 54,1
"19.3796989364,-99.2405574067",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,171387.470383,5 años,64 a 70,4
"19.3505611828,-99.2262889301",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,309850.416691,5 años,60 a 64,3
"19.3701767635,-99.2167896066",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,309394.754585,5 años,60 a 64,3
"19.3784079514,-99.2073261644",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,202495.937829,5 años,64 a 70,4
"19.3217182988,-99.0502309094",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,259239.102329,5 años,41 a 54,1
"19.3572751779,-99.2432977603",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,121000.395651,5 años,60 a 64,3
"19.3509183541,-99.2495297025",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,492400.586956,5 años,60 a 64,3
"19.3872800722,-99.0584771871",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,139526.100174,5 años,54 a 60,2
"19.3387198679,-99.0083817037",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,229725.546026,5 años,41 a 54,1
"19.1979132107,-99.0291819967",Hidrometeorológicos,Precipitación,Bajo,Milpa Alta,997671.330751,5 años,54 a 60,2
"19.3222040832,-99.244104632",Hidrometeorológicos,Precipitación,Medio,La Magdalena Contreras,225285.322879,5 años,60 a 64,3
"19.3753468868,-99.0522720864",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,22371.8099625,5 años,54 a 60,2
"19.3680563408,-98.9951251753",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,155891.628492,5 años,41 a 54,1
"19.3593044586,-99.0979721616",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,375523.598653,5 años,54 a 60,2
"19.3407681518,-98.9826752599",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,158206.605046,5 años,41 a 54,1
"19.3646296793,-99.0088400548",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,300891.090145,5 años,41 a 54,1
"19.3449114817,-99.0080303237",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,266616.009088,5 años,41 a 54,1
"19.3390222204,-99.0039751468",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,272474.952569,5 años,41 a 54,1
"19.3668645025,-99.0683113239",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,385247.89554,5 años,54 a 60,2
"19.3688119645,-99.0532150522",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,597067.147426,5 años,54 a 60,2
"19.3480055338,-99.1154810956",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,339455.288871,5 años,54 a 60,2
"19.3387239165,-99.0118651775",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,169236.904938,5 años,41 a 54,1
"19.3186413541,-99.0858034644",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,196949.124769,5 años,54 a 60,2
"19.3502145272,-99.0960935149",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,173241.273875,5 años,54 a 60,2
"19.3459138349,-99.0530517273",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,207040.95251,5 años,41 a 54,1
"19.3385705463,-99.0144308997",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,155597.196782,5 años,41 a 54,1
"19.3393242536,-98.9873477223",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,156819.101603,5 años,41 a 54,1
"19.3278440994,-99.0656620839",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,207040.242686,5 años,54 a 60,2
"19.3176424844,-99.0410788623",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,75528.4565431,5 años,41 a 54,1
"19.3883935511,-99.0883876206",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,130630.089808,5 años,54 a 60,2
"19.2687778988,-99.2261073299",Hidrometeorológicos,Precipitación,Medio,Tlalpan,315967.275622,5 años,60 a 64,3
"19.3904562709,-99.2654488984",Hidrometeorológicos,Precipitación,Medio,Cuajimalpa de Morelos,2314455.57869,5 años,60 a 64,3
"19.3118947336,-99.1097296031",Hidrometeorológicos,Precipitación,Bajo,Coyoacán,342856.832298,5 años,54 a 60,2
"19.3288381185,-99.2922222734",Hidrometeorológicos,Precipitación,Alto,Cuajimalpa de Morelos,1206603.54124,5 años,64 a 70,4
"19.3339918201,-99.1262052162",Hidrometeorológicos,Precipitación,Bajo,Coyoacán,170981.038979,5 años,54 a 60,2
"19.3097843078,-99.1593185767",Hidrometeorológicos,Precipitación,Medio,Coyoacán,383070.742991,5 años,60 a 64,3
"19.4927425982,-99.1623695354",Hidrometeorológicos,Precipitación,Medio,Azcapotzalco,2043972.64755,5 años,60 a 64,3
"19.341672764,-99.1617728001",Hidrometeorológicos,Precipitación,Bajo,Coyoacán,648709.93212,5 años,54 a 60,2
"19.5000291777,-99.1871248993",Hidrometeorológicos,Precipitación,Medio,Azcapotzalco,676150.351185,5 años,60 a 64,3
"19.4718904484,-99.0896544859",Hidrometeorológicos,Precipitación,Muy Bajo,Gustavo A. Madero,57766.3501207,5 años,41 a 54,1
"19.3089569527,-99.2633309312",Hidrometeorológicos,Precipitación,Medio,La Magdalena Contreras,483822.193136,5 años,60 a 64,3
"19.3881573819,-99.044654864",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,163881.912785,5 años,54 a 60,2
"19.5124988251,-99.2006113396",Hidrometeorológicos,Precipitación,Alto,Azcapotzalco,191779.01594,5 años,64 a 70,4
"19.3670942378,-99.0371025389",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,231536.125914,5 años,41 a 54,1
"19.3511716561,-99.0855856725",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,184945.758447,5 años,54 a 60,2
"19.2102668988,-98.9728583417",Hidrometeorológicos,Precipitación,Muy Bajo,Milpa Alta,259100.503287,5 años,41 a 54,1
"19.3195049448,-99.2356859422",Hidrometeorológicos,Precipitación,Medio,La Magdalena Contreras,453132.603478,5 años,60 a 64,3
"19.362139602,-99.0631695625",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,224417.87007,5 años,54 a 60,2
"19.3263319644,-99.1152219516",Hidrometeorológicos,Precipitación,Bajo,Coyoacán,150875.901448,5 años,54 a 60,2
"19.3595582098,-99.0511900523",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,274503.718041,5 años,41 a 54,1
"19.4605105077,-99.157159274",Hidrometeorológicos,Precipitación,Medio,Cuauhtémoc,458344.81236,5 años,60 a 64,3
"19.441775567,-99.180236482",Hidrometeorológicos,Precipitación,Alto,Miguel Hidalgo,466942.108132,5 años,64 a 70,4
"19.4994654023,-99.2006880547",Hidrometeorológicos,Precipitación,Alto,Azcapotzalco,174225.549027,5 años,64 a 70,4
"19.4698038364,-99.1648159911",Hidrometeorológicos,Precipitación,Medio,Azcapotzalco,175967.763773,5 años,60 a 64,3
"19.4287144526,-99.1938276321",Hidrometeorológicos,Precipitación,Alto,Miguel Hidalgo,275779.063818,5 años,64 a 70,4
"19.443837992,-99.1925246914",Hidrometeorológicos,Precipitación,Alto,Miguel Hidalgo,275289.674079,5 años,64 a 70,4
"19.4127672361,-99.1182527589",Hidrometeorológicos,Precipitación,Bajo,Venustiano Carranza,179024.885572,5 años,54 a 60,2
"19.3605230243,-99.1567667582",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,360951.976981,5 años,54 a 60,2
"19.3622750627,-99.1523861269",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,337964.441222,5 años,54 a 60,2
"19.4393836798,-99.1288284737",Hidrometeorológicos,Precipitación,Bajo,Cuauhtémoc,278399.682853,5 años,54 a 60,2
"19.437076243,-99.1594107847",Hidrometeorológicos,Precipitación,Medio,Cuauhtémoc,439576.329531,5 años,60 a 64,3
"19.4482523859,-99.1288899304",Hidrometeorológicos,Precipitación,Bajo,Cuauhtémoc,289605.257548,5 años,54 a 60,2
"19.4498476931,-99.1212947747",Hidrometeorológicos,Precipitación,Bajo,Venustiano Carranza,141814.198772,5 años,54 a 60,2
"19.5097422086,-99.2029703405",Hidrometeorológicos,Precipitación,Alto,Azcapotzalco,215010.562377,5 años,64 a 70,4
"19.4685701741,-99.18036772",Hidrometeorológicos,Precipitación,Medio,Azcapotzalco,256812.163543,5 años,60 a 64,3
"19.2874644522,-99.1237269658",Hidrometeorológicos,Precipitación,Bajo,Tlalpan,104479.436177,5 años,54 a 60,2
"19.2902729503,-99.1771802385",Hidrometeorológicos,Precipitación,Medio,Tlalpan,168961.693281,5 años,60 a 64,3
"19.2127943937,-99.159080207",Hidrometeorológicos,Precipitación,Medio,Tlalpan,489375.113905,5 años,60 a 64,3
"19.2120714967,-99.1951056051",Hidrometeorológicos,Precipitación,Medio,Tlalpan,608497.621714,5 años,60 a 64,3
"19.3481936111,-99.0297608574",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,464244.342302,5 años,41 a 54,1
"19.2298728242,-99.1937163982",Hidrometeorológicos,Precipitación,Medio,Tlalpan,11994.8689396,5 años,60 a 64,3
"19.3887876804,-99.0697048471",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,150862.802451,5 años,54 a 60,2
"19.297191845,-99.1126351984",Hidrometeorológicos,Precipitación,Bajo,Tlalpan,183352.480211,5 años,54 a 60,2
"19.3675889835,-99.208507009",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,23581.8188672,5 años,60 a 64,3
"19.3475423466,-99.0133668934",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,177251.673179,5 años,41 a 54,1
"19.3245397103,-99.0307004371",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,227932.896422,5 años,41 a 54,1
"19.3308661134,-99.0796489644",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,390329.830861,5 años,54 a 60,2
"19.4913352529,-99.2118043199",Hidrometeorológicos,Precipitación,Alto,Azcapotzalco,562941.730387,5 años,64 a 70,4
"19.4098010199,-99.0638562226",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,246910.476113,5 años,54 a 60,2
"19.4624992948,-99.1013824934",Hidrometeorológicos,Precipitación,Muy Bajo,Gustavo A. Madero,181353.19475,5 años,41 a 54,1
"19.5080825427,-99.1247406451",Hidrometeorológicos,Precipitación,Bajo,Gustavo A. Madero,239071.079875,5 años,54 a 60,2
"19.5396848644,-99.1475098372",Hidrometeorológicos,Precipitación,Medio,Gustavo A. Madero,187755.640227,5 años,60 a 64,3
"19.3833803209,-99.1125112773",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,125140.060197,5 años,54 a 60,2
"19.4916674811,-99.0735043442",Hidrometeorológicos,Precipitación,Muy Bajo,Gustavo A. Madero,172955.554117,5 años,41 a 54,1
"19.313488113,-99.331751785",Hidrometeorológicos,Precipitación,Alto,Cuajimalpa de Morelos,3305472.1909,5 años,64 a 70,4
"19.3878231139,-99.2591374096",Hidrometeorológicos,Precipitación,Medio,Cuajimalpa de Morelos,951005.300916,5 años,60 a 64,3
"19.3176748121,-99.1569735308",Hidrometeorológicos,Precipitación,Medio,Coyoacán,214896.822049,5 años,60 a 64,3
"19.4944844499,-99.2054575404",Hidrometeorológicos,Precipitación,Alto,Azcapotzalco,64318.9702499,5 años,64 a 70,4
"19.4977206225,-99.0917262602",Hidrometeorológicos,Precipitación,Bajo,Gustavo A. Madero,88027.2353595,5 años,54 a 60,2
"19.3069231097,-99.1523951302",Hidrometeorológicos,Precipitación,Medio,Coyoacán,295099.873132,5 años,60 a 64,3
"19.3929386654,-99.0886818964",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,114343.060122,5 años,54 a 60,2
"19.3485682541,-99.1228848645",Hidrometeorológicos,Precipitación,Bajo,Coyoacán,359112.403269,5 años,54 a 60,2
"19.4605153957,-99.1191427272",Hidrometeorológicos,Precipitación,Bajo,Gustavo A. Madero,182705.727258,5 años,54 a 60,2
"19.329334727,-99.1719237419",Hidrometeorológicos,Precipitación,Medio,Coyoacán,342930.431099,5 años,60 a 64,3
"19.5482388797,-99.1311872959",Hidrometeorológicos,Precipitación,Medio,Gustavo A. Madero,177174.020281,5 años,60 a 64,3
"19.3761554664,-99.1512234501",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,377818.190981,5 años,54 a 60,2
"19.3879987819,-99.1435560381",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,96728.7477917,5 años,54 a 60,2
"19.3473999016,-99.1929427411",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,506501.839782,5 años,60 a 64,3
"19.2601539624,-99.0837332695",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,675147.334454,5 años,54 a 60,2
"19.2782899292,-99.1205639749",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,264513.864057,5 años,54 a 60,2
"19.2628920187,-99.1056937173",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,234239.470954,5 años,54 a 60,2
"19.2786402552,-98.99873753",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,231342.808121,5 años,41 a 54,1
"19.3897384881,-99.2050352572",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,34302.1398328,5 años,64 a 70,4
"19.2922501665,-99.128459787",Hidrometeorológicos,Precipitación,Medio,Tlalpan,150983.631426,5 años,60 a 64,3
"19.2770137603,-99.1241965835",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,461182.188193,5 años,54 a 60,2
"19.2785999256,-99.1162531283",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,183022.289594,5 años,54 a 60,2
"19.2940701223,-99.2284142621",Hidrometeorológicos,Precipitación,Medio,Tlalpan,266665.748243,5 años,60 a 64,3
"19.2854396271,-99.2389330242",Hidrometeorológicos,Precipitación,Medio,Tlalpan,283711.219637,5 años,60 a 64,3
"19.2501363288,-99.0250104209",Hidrometeorológicos,Precipitación,Muy Bajo,Xochimilco,642972.806631,5 años,41 a 54,1
"19.2320356562,-99.113395823",Hidrometeorológicos,Precipitación,Medio,Xochimilco,134160.399339,5 años,60 a 64,3
"19.2218087502,-99.0942134703",Hidrometeorológicos,Precipitación,Medio,Xochimilco,435771.803031,5 años,60 a 64,3
"19.2212396462,-98.979541979",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,14372.45579,5 años,41 a 54,1
"19.3810288508,-99.2157375346",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,217673.527847,5 años,64 a 70,4
"19.2850075354,-99.0334159875",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,244038.222497,5 años,41 a 54,1
"19.2807575203,-99.0340147496",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,289123.417958,5 años,41 a 54,1
"19.3759551846,-99.2583147309",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,1419898.08389,5 años,60 a 64,3
"19.2755416821,-99.2180374114",Hidrometeorológicos,Precipitación,Medio,Tlalpan,249672.502395,5 años,60 a 64,3
